Column Name,Description
addr_state,The state provided by the borrower in the loan application
annual_inc,The self-reported annual income provided by the borrower during registration.
application_type,Indicates whether the loan is an individual application or a joint application with two co-borrowers
apply_date,Date the borrow applied for the loan
dti,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested loan, divided by the borrower’s self-reported monthly income."
earliest_cr_line,The month the borrower's earliest reported credit line was opened
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. 
emp_title,The job title supplied by the Borrower when applying for the loan.*
home_ownership,"The home ownership status provided by the borrower during registration. Our values are: RENT, OWN, MORTGAGE, OTHER."
id,A unique assigned ID for the loan listing.
loan_status,Current status of the loan
mths_since_last_major_derog,Months since most recent 90-day or worse rating
purpose,A category provided by the borrower for the loan request. 
revol_bal,Total credit revolving balance
title,The loan title provided by the borrower
verified_status,"Indicates if the borrower's income was verified, not verified, or if the income source was verified"
verified_status_joint,"Indicates if the co-borrowers' joint income was verified, not verified, or if the income source was verified"
